|The San Francisco Examiner| |PAGE 15| |San Francisco, California| |Sunday, December 07, 1969|
|The News and Observer| |PAGE 12| |Raleigh, North Carolina| |Monday, December 01, 1969|
|The Spokesman-Review| |PAGE 13| |Spokane, Washington| |Thursday, December 18, 1969|
|The Spokesman-Review| |PAGE 8| |Spokane, Washington| |Thursday, December 18, 1969|
|The San Francisco Examiner| |PAGE 3| |San Francisco, California| |Monday, December 08, 1969|
|Petaluma Argus-Courier| |PAGE 2| |Petaluma, California| |Monday, December 22, 1969|
|The Times| |PAGE 11| |San Mateo, California| |Saturday, December 27, 1969|
|The Daily Item| |PAGE 3| |Lynn, Massachusetts| |Saturday, December 27, 1969|
|The San Francisco Examiner| |PAGE 3| |San Francisco, California| |Wednesday, December 24, 1969|
|El Paso Herald-Post| |PAGE 8| |El Paso, Texas| |Saturday, December 27, 1969|
